Date,Open,High,Low,Close,Adj Close,Volume
3/9/2019,10.4,10.4,10.2,10.2,10.2,3.237.800
30/08/2019,10.35,10.4,10.3,10.4,10.4,1.448.930
29/08/2019,10.4,10.45,10.3,10.35,10.35,1.731.710
28/08/2019,10.5,10.5,10.35,10.35,10.35,2.132.130
27/08/2019,10.55,10.65,10.45,10.45,10.45,3.932.380
26/08/2019,10.5,10.65,10.45,10.55,10.55,3.639.220
23/08/2019,10.4,10.75,10.3,10.7,10.7,6.009.530
22/08/2019,10.25,10.4,10.25,10.3,10.3,2.733.650
21/08/2019,10.3,10.3,10.2,10.25,10.25,2.643.720
20/08/2019,10.3,10.3,10.2,10.3,10.3,1.536.150
19/08/2019,10.35,10.4,10.2,10.25,10.25,1.298.090
16/08/2019,10.3,10.45,10.15,10.3,10.3,1.934.150
15/08/2019,10.05,10.35,10,10.35,10.35,3.599.580
14/08/2019,10.35,10.35,10.15,10.15,10.15,4.080.850
13/08/2019,10.3,10.35,10.15,10.2,10.2,5.226.420
12/8/2019,10.4,10.45,10.3,10.35,10.35,1.547.220
9/8/2019,10.45,10.5,10.35,10.35,10.35,2.443.760
8/8/2019,10.4,10.45,10.35,10.45,10.45,1.509.710
7/8/2019,10.45,10.6,10.4,10.4,10.4,2.077.070
6/8/2019,10.35,10.5,10.2,10.45,10.45,3.467.750
5/8/2019,10.55,10.6,10.4,10.45,10.45,2.181.320
2/8/2019,10.4,10.8,10.35,10.6,10.6,3.080.950
1/8/2019,10.7,10.75,10.5,10.5,10.5,5.355.510
31/07/2019,10.9,10.9,10.6,10.7,10.7,3.284.590
30/07/2019,10.95,11.05,10.85,10.85,10.85,2.008.890
29/07/2019,11.2,11.2,10.9,10.95,10.95,6.880.680
26/07/2019,11.2,11.3,11.15,11.15,11.15,3.202.500
25/07/2019,11.35,11.35,11.2,11.2,11.2,5.858.050
24/07/2019,11.5,11.55,11.35,11.35,11.35,4.401.900
23/07/2019,11.55,11.6,11.5,11.5,11.5,1.904.960
22/07/2019,11.65,11.75,11.5,11.5,11.5,3.085.190
19/07/2019,11.55,11.75,11.55,11.7,11.7,4.763.810
18/07/2019,11.55,11.65,11.5,11.55,11.55,3.647.500
17/07/2019,11.45,11.65,11.4,11.55,11.55,8.142.600
16/07/2019,11.4,11.5,11.3,11.4,11.4,3.638.030
15/07/2019,11.5,11.5,11.3,11.35,11.35,3.514.570
12/7/2019,11.5,11.55,11.4,11.4,11.4,2.599.730
11/7/2019,11.55,11.55,11.4,11.5,11.5,2.599.710
10/7/2019,11.4,11.55,11.35,11.45,11.45,3.607.160
9/7/2019,11.4,11.45,11.3,11.35,11.35,1.626.810
8/7/2019,11.45,11.5,11.3,11.4,11.4,2.468.730
5/7/2019,11.45,11.5,11.4,11.4,11.4,2.475.820
4/7/2019,11.4,11.55,11.35,11.45,11.45,2.607.380
3/7/2019,11.5,11.5,11.35,11.35,11.35,2.342.120
2/7/2019,11.55,11.55,11.4,11.45,11.45,2.530.270
1/7/2019,11.45,11.6,11.45,11.55,11.55,4.427.550
28/06/2019,11.35,11.4,11.25,11.35,11.35,3.056.690
27/06/2019,11.55,11.55,11.3,11.3,11.3,3.913.270
26/06/2019,11.6,11.65,11.5,11.5,11.5,3.015.950
